Treatment,Replicate,Color,Type,Number,Number_correct,Relative_frame,Groom_between,reason_excluded
HT,16,red,N,1,1,24892,15441,
HT,17,purple,,1,,,,did not groom exposed
HT,17,red,N,1,1,9293,8059,
HT,17,orange,N,1,1,23421,19172,
HT,17,orange,N,2,2,27347,3002,
HT,17,purple,H,2,1,35257,709,
LL,2,orange,N,1,1,31900,14933,
LL,2,yellow,L,1,1,73564,10461,
LL,8,blue,N,1,1,16114,9198,
LL,8,yellow,N,1,1,25704,14761,
LL,8,purple,L,1,1,30107,2229,
LL,8,red,L,1,1,54079,4316,
LL,9,purple,N,1,1,19481,14767,
LL,9,blue,N,1,1,26117,14189,
LL,9,red,L,1,1,56537,4831,
LL,9,yellow,N,1,1,64519,13062,
LL,9,yellow,,2,,,,did not groom exposed
LL,9,green,L,1,1,74953,1628,
LL,13,yellow,N,1,1,9127,3845,
LL,13,purple,N,1,1,12497,8190,
LL,13,orange,N,1,1,14472,9268,
LL,13,red,L,1,1,36978,927,
LL,13,green,L,1,1,44742,2177,
LL,13,purple,N,2,2,64404,19158,
LL,14,yellow,N,1,1,19686,5264,
LL,14,blue,N,1,1,21028,9838,
LL,14,red,N,1,1,38404,6585,
LL,15,purple,L,1,1,9264,68,
LL,15,yellow,N,1,1,12728,9611,
LL,15,red,N,1,1,40339,11051,
LL,15,yellow,N,2,2,52113,19106,
LL,15,green,L,1,1,59412,427,
LL,17,yellow,N,1,1,2336,1733,
LL,17,blue,N,1,1,9837,8829,
LL,17,yellow,N,2,2,14314,6956,
LL,17,blue,N,2,2,22699,9705,
LL,17,orange,L,1,1,22762,2052,
LL,17,blue,,3,,,,did not groom exposed
LL,17,red,N,1,1,25948,627,
LL,17,green,N,1,1,38353,21013,
LL,17,yellow,N,3,3,42554,10504,
LL,17,blue,N,4,3,52522,16645,
LL,17,blue,,5,,,,did not groom exposed
LL,18,red,N,1,1,8286,7075,
LL,18,purple,L,1,1,25999,231,
LL,18,red,N,2,2,48461,11414,
LL,18,yellow,N,1,1,57009,27361,
LL,18,orange,L,1,1,60168,617,
LT,2,purple,N,1,1,23675,17383,
LT,2,blue,,1,,,,did not groom exposed
LT,2,green,L,1,1,79143,886,
LT,9,yellow,T,1,1,2192,794,
LT,9,red,N,1,1,47229,15616,
LT,9,yellow,T,2,2,65839,14817,
LT,13,orange,L,1,1,29793,403,
LT,13,red,N,1,1,31300,15947,
LT,13,green,N,1,1,35229,6108,
LT,15,purple,N,1,1,23520,9754,
LT,15,blue,N,1,1,29654,12709,
LT,16,yellow,,1,,,,did not groom exposed
LT,16,yellow,L,2,1,74886,1534,
LT,17,blue,N,1,1,13692,9192,
LT,17,green,N,1,1,14201,5794,
LT,17,purple,L,1,1,28899,497,
LT,17,orange,N,1,1,29115,15494,
LT,17,red,T,1,1,79356,10071,
