"treat","rep","color","strain","dose","spores"
"HH",13,"yellow","N","X",0
"HH",13,"orange","R","H",129789.011224
"HH",13,"red","G","H",141169.562516
"HH",13,"purple","N","X",0
"HH",13,"blue","N","X",0
"HH",13,"green","N","X",0
"HH",14,"yellow","R","H",276141.094618
"HH",14,"orange","N","X",0
"HH",14,"red","N","X",0
"HH",14,"purple","N","X",0
"HH",14,"blue","G","H",116356.683392
"HH",14,"green","N","X",0
"HH",15,"yellow","R","H",86778.492776
"HH",15,"orange","N","X",0
"HH",15,"red","N","X",0
"HH",15,"purple","G","H",116596.204896
"HH",15,"blue","N","X",0
"HH",15,"green","N","X",0
"HH",17,"yellow","N","X",0
"HH",17,"orange","G","H",101987.930457
"HH",17,"red","N","X",0
"HH",17,"purple","R","H",84780.27418
"HH",17,"blue","N","X",0
"HH",17,"green","N","X",0
"HH",18,"yellow","N","X",0
"HH",18,"orange","R","H",336842.437503
"HH",18,"red","N","X",0
"HH",18,"purple","G","H",130192.881081
"HH",18,"blue","N","X",0
"HH",18,"green","N","X",0
"HTx",1,"yellow","R","H",180503.879989
"HTx",1,"orange","N","X",0
"HTx",1,"red","T","X",0
"HTx",1,"purple","N","X",0
"HTx",1,"blue","N","X",0
"HTx",1,"green","N","X",0
"HTx",2,"yellow","N","X",0
"HTx",2,"orange","T","X",0
"HTx",2,"red","N","X",0
"HTx",2,"purple","N","X",0
"HTx",2,"blue","G","H",59743.978377
"HTx",2,"green","N","X",0
"HTx",3,"yellow","N","X",0
"HTx",3,"orange","N","X",0
"HTx",3,"red","R","H",36950.493586
"HTx",3,"purple","N","X",0
"HTx",3,"blue","N","X",0
"HTx",3,"green","T","X",0
"HTx",4,"yellow","T","X",0
"HTx",4,"orange","G","H",117827.618662
"HTx",4,"red","N","X",0
"HTx",4,"purple","N","X",0
"HTx",4,"blue","N","X",0
"HTx",4,"green","N","X",0
"HTx",5,"yellow","N","X",0
"HTx",5,"orange","N","X",0
"HTx",5,"red","R","H",115719.121497
