HL,7,815,598,yellow,N,X,G,blue,G,H
HL,7,1523,98,yellow,N,X,G,blue,G,H
HL,7,3230,13,yellow,N,X,S,yellow,N,X
HL,7,3257,277,yellow,N,X,G,red,N,X
HL,7,3572,248,yellow,N,X,G,red,N,X
HL,7,3843,2648,yellow,N,X,G,green,R,L
HL,7,7577,19,yellow,N,X,S,yellow,N,X
HL,7,7658,20,yellow,N,X,S,yellow,N,X
HL,7,7728,2668,yellow,N,X,G,blue,G,H
HL,7,10567,24,yellow,N,X,S,yellow,N,X
HL,7,10873,481,yellow,N,X,G,blue,G,H
HL,7,12680,33,yellow,N,X,S,yellow,N,X
HL,7,17623,12,yellow,N,X,S,yellow,N,X
HL,7,18411,2404,yellow,N,X,G,green,R,L
HL,7,25050,17,yellow,N,X,S,yellow,N,X
HL,7,30379,803,yellow,N,X,G,blue,G,H
HL,7,34958,15,yellow,N,X,S,yellow,N,X
HL,7,46033,18,yellow,N,X,S,yellow,N,X
HL,7,46218,13,yellow,N,X,S,yellow,N,X
HL,7,46740,448,yellow,N,X,G,blue,G,H
HL,7,48953,53,yellow,N,X,S,yellow,N,X
HL,7,51076,23,yellow,N,X,S,yellow,N,X
HL,7,52797,10,yellow,N,X,S,yellow,N,X
HL,7,53200,49,yellow,N,X,S,yellow,N,X
HL,7,54665,25,yellow,N,X,S,yellow,N,X
HL,7,54767,13,yellow,N,X,S,yellow,N,X
HL,7,54855,15,yellow,N,X,S,yellow,N,X
HL,7,56999,4,yellow,N,X,S,yellow,N,X
HL,7,59070,34,yellow,N,X,S,yellow,N,X
HL,7,62390,27,yellow,N,X,G,orange,N,X
HL,7,63142,23,yellow,N,X,S,yellow,N,X
HL,7,63956,15,yellow,N,X,S,yellow,N,X
HL,7,64085,37,yellow,N,X,S,yellow,N,X
HL,7,64910,103,yellow,N,X,S,yellow,N,X
HL,7,65320,109,yellow,N,X,S,yellow,N,X
HL,7,65692,235,yellow,N,X,S,yellow,N,X
HL,7,66056,10,yellow,N,X,S,yellow,N,X
HL,7,66120,16,yellow,N,X,S,yellow,N,X
HL,7,66221,35,yellow,N,X,S,yellow,N,X
HL,7,66319,86,yellow,N,X,S,yellow,N,X
HL,7,66753,18,yellow,N,X,S,yellow,N,X
HL,7,68114,46,yellow,N,X,S,yellow,N,X
HL,7,68572,248,yellow,N,X,S,yellow,N,X
HL,7,68925,33,yellow,N,X,S,yellow,N,X
HL,7,69055,10,yellow,N,X,S,yellow,N,X
HL,7,70481,203,yellow,N,X,S,yellow,N,X
HL,7,70692,223,yellow,N,X,S,yellow,N,X
HL,7,71091,32,yellow,N,X,S,yellow,N,X
HL,7,71476,20,yellow,N,X,S,yellow,N,X
HL,7,71620,69,yellow,N,X,S,yellow,N,X
HL,7,71776,102,yellow,N,X,S,yellow,N,X
HL,7,75624,14,yellow,N,X,S,yellow,N,X
HL,7,75730,50,yellow,N,X,S,yellow,N,X
HL,7,75810,11,yellow,N,X,G,green,R,L
HL,7,76064,102,yellow,N,X,S,yellow,N,X
HL,7,76586,56,yellow,N,X,S,yellow,N,X
HL,7,79570,67,yellow,N,X,S,yellow,N,X
HL,7,79685,100,yellow,N,X,S,yellow,N,X
HL,7,79986,92,yellow,N,X,S,yellow,N,X
HL,7,80390,10,yellow,N,X,S,yellow,N,X
HL,7,80417,71,yellow,N,X,S,yellow,N,X
HL,7,476,1409,orange,N,X,G,blue,G,H
HL,7,1918,2111,orange,N,X,G,green,R,L
HL,7,4868,117,orange,N,X,G,purple,N,X
HL,7,5280,387,orange,N,X,G,blue,G,H
HL,7,5792,20,orange,N,X,S,orange,N,X
HL,7,5851,724,orange,N,X,G,green,R,L
